Age,Experience_Years,Last_Year_Rating,Training_Hours,Promotion
30,5,3,60,0
52,25,5,72,1
50,29,1,99,0
59,27,5,48,0
51,11,3,35,0
38,1,4,62,0
56,2,5,91,1
22,2,2,57,0
34,27,1,88,0
33,11,1,83,0
49,14,2,27,0
32,8,2,32,0
59,22,5,20,0
22,7,2,41,0
52,10,4,25,0
33,15,3,83,0
47,25,2,21,0
37,26,2,41,0
51,24,4,81,0
54,21,1,23,1
44,3,1,34,0
55,27,5,49,0
26,0,4,22,0
39,23,3,82,1
50,6,3,66,0
27,1,4,40,0
30,23,3,88,0
52,27,1,56,1
54,4,3,23,1
48,6,3,48,0
35,3,4,11,0
50,4,4,48,0
57,23,3,72,0
49,0,2,38,0
42,0,4,70,0
24,14,5,73,0
40,19,5,59,0
52,18,1,14,0
56,28,3,46,0
24,9,2,45,0
47,27,1,81,1
37,17,3,73,0
32,27,4,14,1
42,2,5,14,0
37,10,2,95,0
30,14,5,64,0
21,26,4,55,0
42,29,3,25,1
46,10,4,12,0
38,16,4,69,0
34,16,5,96,1
49,5,2,82,0
32,4,4,89,1
56,7,5,34,1
55,1,2,89,0
32,15,3,53,0
27,19,3,13,0
49,23,1,21,0
31,11,5,73,0
53,5,2,62,1
26,0,4,61,0
35,3,3,66,0
52,16,2,99,0
31,12,5,56,0
43,17,1,65,0
46,4,3,44,1
54,29,2,42,0
54,23,2,47,0
49,23,2,67,0
24,26,5,23,1
37,2,5,54,0
55,10,5,37,1
33,12,4,17,0
59,3,2,82,1
35,25,3,66,0
49,26,5,97,0
49,13,5,47,1
31,21,2,53,0
52,10,5,40,0
22,26,4,14,0
34,9,4,99,1
40,18,5,10,1
42,17,2,61,0
31,5,2,5,0
47,26,2,75,1
23,28,1,62,0
37,14,5,95,1
48,20,2,25,0
49,29,4,96,1
41,9,3,84,1
36,4,3,60,1
57,25,2,91,1
40,28,3,24,0
26,4,3,58,0
39,9,1,29,0
25,27,4,32,0
23,4,4,9,0
21,2,1,25,0
58,22,1,22,0
35,5,3,51,0
54,3,5,74,0
55,17,3,61,1
45,27,1,97,0
44,8,4,23,0
32,16,3,69,1
38,28,5,7,0
35,12,3,46,0
36,26,2,25,0
47,14,3,44,1
28,29,1,71,0
45,19,4,29,1
37,16,4,59,0
49,12,1,88,1
28,15,2,56,0
35,21,1,48,0
47,3,3,89,0
27,4,1,60,0
23,4,1,59,0
49,8,2,91,1
44,16,3,74,0
23,12,5,81,1
40,1,5,91,1
35,12,4,77,0
45,21,1,85,1
50,20,4,70,0
34,26,2,23,0
27,22,5,87,1
37,18,1,11,0
40,2,2,67,0
56,9,2,46,0
29,1,1,46,0
58,12,2,63,1
42,18,1,24,0
22,25,1,77,0
44,16,3,21,0
28,20,4,31,0
31,13,2,51,0
33,11,2,6,0
37,20,3,67,0
28,11,3,66,0
41,10,3,23,1
38,6,5,21,0
50,3,5,73,1
38,18,5,43,1
51,0,1,86,1
58,27,2,75,1
52,23,4,85,0
31,28,1,43,0
45,2,2,40,0
53,12,2,44,0
58,14,3,49,1
28,1,3,8,0
31,10,1,29,1
42,3,3,73,0
44,18,2,34,1
37,28,3,80,0
32,16,5,72,0
52,2,3,92,0
35,27,2,33,1
36,17,1,77,0
42,7,4,72,1
48,21,3,55,1
40,24,2,28,1
53,23,4,18,0
30,25,4,73,1
52,18,5,22,1
53,4,4,46,0
22,6,2,61,0
53,20,2,87,0
53,7,3,16,0
33,27,3,86,0
50,4,3,21,1
53,16,4,34,0
33,4,4,92,0
46,3,5,79,1
42,21,3,27,0
59,18,1,85,1
22,26,5,5,0
58,20,1,83,0
59,1,4,36,0
46,10,5,13,0
35,21,5,19,0
54,12,2,32,1
31,14,4,28,0
23,11,4,64,1
26,21,5,39,0
29,20,4,90,0
26,21,5,31,1
29,10,2,87,0
59,6,5,80,1
51,27,4,24,1
52,4,4,69,1
32,16,5,89,0
28,23,5,53,0
28,19,5,5,0
48,8,3,14,1
40,13,4,51,0
27,25,4,63,0
31,11,3,66,0
40,5,5,90,0
36,16,2,22,0
24,18,5,50,0
26,18,5,36,1
42,25,3,31,1
46,15,4,96,1
23,11,5,22,0
34,11,4,43,0
31,19,1,53,1
38,5,4,97,1
32,22,2,86,1
43,25,2,48,1
32,3,5,76,0
33,5,4,58,1
45,10,5,99,0
39,0,3,38,0
56,29,2,75,1
28,23,5,40,0
49,22,3,22,0
52,14,5,42,0
38,26,4,63,0
26,10,4,13,1
38,24,4,77,0
39,18,4,76,0
42,17,1,55,0
57,16,3,39,0
52,18,3,86,0
23,20,4,9,0
48,13,1,18,0
30,26,4,96,1
55,17,1,34,1
49,27,4,8,1
35,18,2,43,0
53,14,2,88,0
27,14,5,68,1
32,3,4,29,0
50,6,3,32,1
41,12,5,80,1
51,2,2,70,1
44,15,4,82,1
40,8,5,26,0
57,7,4,35,0
24,19,2,27,1
48,12,5,52,0
40,16,2,24,0
44,16,1,42,0
52,16,2,59,0
56,0,4,72,1
54,7,3,83,0
56,18,2,92,0
22,5,3,93,1
35,2,1,5,0
54,26,5,11,1
56,4,5,61,0
26,12,3,99,0
59,14,5,16,0
32,13,2,9,0
23,28,3,54,0
38,22,4,46,1
41,15,2,16,0
35,17,2,22,0
53,21,2,70,0
55,28,4,78,0
46,21,1,83,1
28,10,5,98,0
56,2,3,21,0
50,21,1,72,1
43,9,3,75,1
34,9,5,66,0
34,29,4,45,0
22,20,2,99,0
57,15,2,38,1
25,11,4,74,0
58,1,1,49,0
34,8,1,62,0
59,23,3,55,0
45,2,4,38,1
40,23,1,48,1
22,29,4,19,0
59,24,5,82,0
26,29,2,74,0
37,14,2,54,0
45,2,2,36,0
48,18,4,71,0
22,17,4,7,0
55,7,3,90,0
57,25,2,90,1
25,16,3,78,1
21,7,2,55,1
32,6,3,71,0
56,29,3,80,1
43,6,5,97,0
51,2,3,52,0
31,0,4,21,0
30,3,3,11,0
23,24,2,17,0
34,4,3,70,0
36,0,1,8,0
30,14,2,14,0
49,4,1,92,0
30,12,2,21,0
32,7,4,56,0
50,7,4,10,0
21,4,4,87,0
25,27,1,73,0
40,8,5,78,1
28,0,2,13,0
32,3,4,95,0
21,2,2,81,0
40,1,1,87,0
48,7,5,25,0
57,22,1,28,0
57,8,2,8,0
32,1,5,28,0
57,13,5,63,0
48,13,1,7,0
35,3,4,72,0
26,29,2,44,0
40,5,3,52,1
34,10,3,58,0
22,2,1,39,0
29,7,2,99,0
57,2,2,60,0
40,13,1,93,0
46,27,2,44,0
49,12,4,81,0
21,12,1,72,0
55,1,4,50,0
26,12,2,82,0
57,28,1,17,0
25,18,2,31,0
53,26,1,10,0
34,5,2,21,0
32,15,4,40,1
40,1,4,85,1
44,7,2,6,0
54,16,1,81,0
45,22,3,56,0
49,1,4,70,1
59,9,4,56,0
51,27,3,96,0
43,15,2,47,0
58,5,1,94,0
40,27,2,26,0
43,1,5,59,0
36,1,4,71,0
28,25,5,64,1
41,12,4,62,1
21,23,4,16,0
28,14,5,92,0
49,27,5,73,1
52,1,2,88,0
58,6,5,43,0
25,2,2,17,0
42,7,2,45,0
54,22,2,61,0
21,13,4,57,0
46,23,4,16,0
30,29,5,17,0
50,22,4,78,0
38,26,5,61,0
37,21,4,44,0
46,28,1,84,0
28,6,1,49,0
32,20,5,39,0
47,6,4,7,0
28,0,4,9,0
45,16,2,94,1
24,8,3,15,0
53,29,5,75,0
21,20,3,60,0
39,12,3,14,0
51,20,5,38,0
36,18,4,71,0
34,20,5,76,1
25,18,3,35,0
46,24,4,79,0
48,24,1,75,0
22,21,5,70,1
26,16,5,74,0
29,22,4,45,1
53,22,1,67,1
45,29,1,36,0
33,9,4,24,0
29,9,2,61,0
33,3,5,54,1
51,7,5,84,1
31,21,3,29,0
24,19,4,16,1
54,19,3,75,0
58,17,3,43,0
24,13,1,21,1
58,17,5,49,1
39,27,3,15,0
26,13,1,74,0
54,19,4,27,1
38,20,3,95,1
33,23,5,74,1
43,14,3,42,1
39,21,4,6,0
31,29,3,90,1
21,3,5,88,0
44,12,1,93,1
27,26,5,83,0
45,22,1,97,1
41,7,2,76,0
35,17,5,41,0
21,11,5,53,0
32,22,4,56,1
27,13,3,37,1
35,1,1,26,0
41,17,1,9,1
39,23,4,22,1
49,1,4,42,0
45,10,3,41,0
53,8,3,98,1
52,11,5,99,0
55,16,2,68,1
58,14,3,14,1
46,24,4,83,1
31,16,3,46,0
55,25,1,52,0
28,28,2,48,0
34,25,5,86,0
30,17,1,91,0
22,21,1,20,0
29,5,2,58,0
23,16,5,39,1
41,22,4,32,0
46,23,5,6,0
28,17,3,98,0
22,7,1,17,0
26,8,3,45,0
48,5,4,84,1
49,4,3,63,0
46,11,5,73,1
45,24,3,96,0
32,28,4,57,1
25,27,4,49,1
54,10,4,24,1
57,24,5,28,1
35,0,4,65,1
56,10,1,95,1
35,18,4,98,1
43,8,3,62,0
26,26,3,31,0
41,1,3,30,0
43,11,5,11,0
36,3,3,46,0
35,3,5,51,1
45,17,5,57,1
56,14,4,63,0
31,18,1,42,0
35,12,4,73,1
24,18,4,91,0
41,16,5,96,1
33,5,5,57,0
42,15,3,19,0
39,23,3,30,0
54,11,4,52,1
34,18,2,99,0
24,4,2,23,0
47,16,3,13,0
49,25,2,68,0
48,22,3,97,1
55,25,5,58,1
28,28,4,55,0
36,0,1,43,0
56,27,4,8,0
50,26,3,7,1
38,24,3,68,1
22,23,4,33,0
33,22,3,15,0
24,9,2,62,0
46,14,2,79,1
45,22,3,31,1
50,20,3,25,1
31,20,2,43,0
27,10,3,99,0
51,12,3,50,1
30,4,4,70,0
59,0,1,95,0
33,23,2,40,0
51,11,4,79,1
27,10,1,86,0
56,16,3,69,0
40,3,3,67,0
24,14,4,39,0
27,24,3,35,0
21,29,5,32,1
33,8,4,5,1
42,20,1,29,0
41,19,4,47,1
42,18,2,88,1
48,18,4,71,0
29,11,3,67,1
46,4,3,55,1
29,9,5,6,0
35,16,5,86,0
30,4,5,68,1
44,21,1,78,0
28,15,5,73,0
44,6,1,13,0
36,27,5,6,0
46,8,1,38,1
47,2,4,64,0
57,14,4,65,0
24,15,3,35,0
44,17,1,14,0
39,13,2,80,0
56,2,3,40,0
59,11,4,89,1
30,8,1,53,0
45,27,5,74,1
38,6,2,53,0
39,8,4,7,0
56,12,3,78,0
30,17,1,9,0
53,4,2,94,1
25,12,1,65,0
55,3,5,89,1
54,1,3,94,0
53,15,1,30,1
41,8,4,76,0
37,8,3,9,0
42,5,4,19,0
57,10,1,20,0
35,21,3,5,0
55,23,4,20,1
48,21,5,41,0
27,0,5,7,0
52,3,1,56,0
31,12,3,51,0
30,22,2,99,1
29,12,3,17,0
34,12,5,84,1
33,1,4,59,0
45,8,2,25,0
22,23,1,70,0
55,7,2,58,1
27,6,1,31,0
41,3,2,42,0
38,17,1,94,1
23,2,1,62,0
59,27,2,66,1
31,5,2,50,1
59,11,1,93,1
44,11,5,15,1
39,20,2,76,0
24,27,3,12,0
46,7,4,75,1
58,21,1,68,0
52,21,1,25,0
59,0,4,76,1
56,3,5,67,0
57,20,4,89,1
53,27,2,68,1
56,10,4,24,1
23,2,1,12,0
29,12,4,62,1
28,24,3,50,1
53,16,2,35,0
26,21,4,97,0
59,21,1,13,1
24,9,2,19,1
33,20,1,98,0
22,11,5,30,0
25,14,3,14,0
47,20,5,33,0
52,9,3,84,1
41,13,4,40,1
28,12,2,88,0
58,4,4,41,0
28,5,3,90,0
23,23,3,75,1
23,1,3,27,0
42,21,1,45,0
26,16,2,97,0
22,3,4,84,0
43,13,4,32,0
22,9,5,52,0
58,2,3,42,0
37,24,3,35,0
55,2,3,18,0
54,14,4,77,1
43,5,5,95,1
50,16,1,92,1
28,11,2,81,1
42,21,1,94,0
56,19,4,33,0
25,23,3,55,0
33,28,2,53,1
49,10,4,47,1
51,24,4,96,0
36,3,4,96,0
50,25,2,76,0
36,27,2,91,1
32,25,5,97,1
37,5,5,9,0
36,0,1,46,0
32,19,2,11,0
28,22,2,46,1
40,27,2,40,0
23,15,5,31,1
36,14,4,62,0
50,16,3,50,1
43,7,5,70,1
48,27,2,29,0
